Year,Date,Time,Race Name,Generic Race Type,Course,Position,Draw,Horse Name,SP (Decimal),Jockey,Trainer
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,1,26,Like-A-Butterfly (IRE),2.75,Charlie Swan,C Roche
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,3,11,In Contrast (IRE),1.06,Richard Johnson,Philip Hobbs
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,4,6,Eternal Spring (IRE),1.08,D Gallagher,James Fanshawe
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,6,14,Native Scout (IRE),1.07,Norman Williamson,Donal Hassett
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,7,17,Scottish Memories (IRE),51,Paul Carberry,Noel Meade
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,8,21,Stars Out Tonight (IRE),34,Jim Culloty,Henrietta C Knight
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,10,9,Got One Too (FR),1.06,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,12,19,Soltero (IRE),41,Barry Geraghty,Mrs John Harrington
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,13,12,Jaybejay (NZ),51,Tom Scudamore,M C Pipe
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,14,27,Detonateur (FR),201,David Dennis,Ian Williams
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,15,5,Dungarvans Choice (IRE),1.04,J R Kavanagh,Nicky Henderson
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,16,10,Hitman (IRE),1.05,Barry Fenton,Mark Pitman
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,17,15,Never (FR),34,T Doumen,F Doumen
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,18,13,Mutakarrim,1.04,D J Casey,D K Weld
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,19,18,Snob Wells (IRE),101,Carl Llewellyn,Noel Meade
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,20,20,Sossus Vlei,51,Leighton Aspell,Peter Winkworth
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,21,8,Forto (GER),151,Robert Thornton,Dai Williams
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,22,7,Fireball Macnamara (IRE),101,Timmy Murphy,Mark Pitman
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,3,Bernardon (GER),1.06,Richard Guest,M C Pipe
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,22,Three Lions,151,Barry Keniry,R S Brookhouse
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,1,Adamant Approach (IRE),1.08,R Walsh,W P Mullins
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,25,Best Wait (IRE),101,Conor O'Dwyer,T Hogan
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,1,6,Moscow Flyer (IRE),1.18,Barry Geraghty,Mrs John Harrington
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,2,7,Seebald (GER),3.5,A P McCoy,M C Pipe
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,3,10,Armaturk (FR),1.13,Timmy Murphy,Paul Nicholls
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,4,8,Truckers Tavern (IRE),1.09,John McNamara,Ferdy Murphy
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,5,4,Fondmort (FR),1.25,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,6,1,Assessed (IRE),1.04,R Walsh,W P Mullins
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,7,2,Barton,1.22,Tony Dobbin,Tim Easterby
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,8,12,Kadarann (IRE),1.06,Joe Tizzard,Paul Nicholls
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,9,3,Ei Ei,101,W Worthington,Michael Chapman
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,10,9,Youlneverwalkalone (IRE),1.1,Conor O'Dwyer,C Roche
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,F,11,Jardin De Beaulieu (FR),101,David Dennis,Ian Williams
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,1,4,Hors La Loi III (FR),1.1,D Gallagher,James Fanshawe
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,2,7,Marble Arch,1.04,R Walsh,Hughie Morrison
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,3,14,Bilboa (FR),1.07,T Doumen,F Doumen
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,5,6,Landing Light (IRE),4.33,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,6,1,Ansar (IRE),51,Paul Carberry,D K Weld
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,7,9,Mr Cool,101,Rodi Greene,M C Pipe
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,8,8,Mister Morose (IRE),101,Carl Llewellyn,Nigel Twiston-Davies
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,9,15,Liss A Paoraigh (IRE),1.05,Norman Williamson,John E Kiely
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,10,2,Chimes At Midnight (USA),151,Martin Mooney,Luke Comer
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,11,12,Rostropovich I (IRE),101,D J Casey,M F Morris
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,12,11,Regal Exit (FR),67,J R Kavanagh,Nicky Henderson
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,1,17,Frenchman's Creek,1.13,Paul Carberry,Hughie Morrison
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,2,21,Carbury Cross (IRE),1.04,L Cooper,Jonjo O'Neill
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,3,3,Ad Hoc (IRE),1.14,R Walsh,Paul Nicholls
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,4,6,You're Agoodun,1.05,J R Kavanagh,M C Pipe
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,5,7,Royal Predica (FR),1.04,Rodi Greene,M C Pipe
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,6,10,Gunther McBride (IRE),5,Richard Johnson,Philip Hobbs
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,7,11,Bindaree (IRE),1.04,Carl Llewellyn,Nigel Twiston-Davies
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,8,15,Idole Des Fontaines (FR),41,J L Guillochon,C G Diard
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,9,19,Carryonharry (IRE),1.2,A P McCoy,M C Pipe
