No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
12,"19-111
CD","No Drama This End (72)
J: H Cobden
T: P F Nicholls","6-y-o
11st 7lb",156Spotlight,"5/2
9/4
2/1",9/4,SP
17,"11
D","Sober (59)
J: Mr P W Mullins
T: W P Mullins","7-y-o
11st 7lb",148Spotlight,"15/2
7/1
13/2",7/1,SP
19,271-12,"Sortudo (61)
J: Danny Mullins
T: W P Mullins","6-y-o
11st 7lb",146Spotlight,"10/1
9/1
8/1",15/2,SP
16,4-211,"Skylight Hustle (74)
J: Danny Gilligan
T: G Elliott","6-y-o
11st 7lb",153Spotlight,"9/1
10/1
9/1",17/2,SP
1,41-121,"Act Of Innocence (34)
J: N De Boinville
T: N J Henderson","6-y-o
11st 7lb",146Spotlight,"9/1
17/2
9/1",17/2,SP
2,1112,"Ballyfad (38)
J: Jack Kennedy
T: G Elliott","5-y-o
11st 7lb",151Spotlight,"10/1
9/1
10/1",9/1,SP
9,4-213,"King Rasko Grey (38)
J: Paul Townend
T: W P Mullins","6-y-o
11st 7lb",150Spotlight,"9/1
17/2
9/1",10/1,SP
8,"2-1111
D","I'll Sort That (61)
J: Mr D L Queally
T: D Queally","6-y-o
11st 7lb",151Spotlight,"11/1
12/1
11/1",12/1,SP
3,1-311,"Bossman Jack (26)
J: Harry Skelton
T: D Skelton","6-y-o
11st 7lb",149Spotlight,"12/1
14/1
12/1",14/1,SP
14,3-16,"Saint Baco (61)
J: Sean O'keeffe
T: W P Mullins","5-y-o
11st 7lb",137Spotlight,"25/1
28/1
25/1",28/1,SP
15,5-P721,"Shuttle Diplomacy (45)
J: Daniel King
T: T Cooper","6-y-o
11st 7lb",145Spotlight,"25/1
28/1
33/1",28/1,SP
11,2-21,"Laurets D'estruval (34)
J: Brian Hayes
T: W P Mullins","5-y-o
11st 7lb",141Spotlight,"50/1
40/1
33/1",28/1,SP
22,23211,"Zeus Power (53)
J: J J Slevin
T: J P O'brien","5-y-o
11st 7lb",145Spotlight,"33/1
40/1
33/1",28/1,SP
7,31-112,"Hurricane Pat (53)
J: Caoilin Quinn
T: G & J Moore","6-y-o
11st 7lb",144Spotlight,"50/1
40/1
50/1",40/1,SP
20,112,"Taurus Bay (46)
J: Ben Jones
T: B Pauling","5-y-o
11st 7lb",139Spotlight,"33/1
28/1
33/1",40/1,SP
10,"412
D","Klimt Madrik (72)
J: K Brogan
T: T Lawes","6-y-o
11st 7lb",144Spotlight,"80/1
66/1
50/1",66/1,SP
18,"3123
C","Soldier Reeves (53)
J: Tristan Durrell
T: D Skelton","5-y-o
11st 7lb",140Spotlight,"66/1
80/1
100/1",80/1,SP
13,"-42124
D","Riskaway (37)
J: Sam Ewing
T: G Elliott","6-y-o
11st 7lb",143Spotlight,"80/1
100/1
80/1",100/1,SP
5,1313,"Fortune Timmy (46)
J: Freddie Gordon
T: C Gordon","6-y-o
11st 7lb",137Spotlight,"125/1
150/1
125/1",100/1,SP
21,"35-161
D","Walks In June (72)
J: Darragh O'keeffe
T: H De Bromhead","6-y-o
11st 7lb",138Spotlight,"125/1
150/1
125/1",100/1,SP
6,2-13,"Free Spirit (59)
J: Mark Walsh
T: W P Mullins","5-y-o
11st 7lb",136Spotlight,"125/1
100/1
125/1",100/1,SP
Non-runners,,,,,,,
4,3-3211,"Came From Nowhere - N/R (53)
J: Lorcan Williams
T: J Scott","7-y-o
11st 7lb",145Spotlight,"150/1
125/1
100/1",80/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
10,2-1111,"Romeo Coolio (37)
J: Jack Kennedy
T: G Elliott","7-y-o
11st 7lb",169Spotlight,"5/2
11/4
3/1",11/4,SP
