No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
3,"11-121
C,D","Bambino Fever (56)
J: Paul Townend
T: W P Mullins","6-y-o
11st 5lb",145Spotlight,"EVS
11/10
EVS",11/10,SP
15,"27-111
D","Oldschool Outlaw (36)
J: Mark Walsh
T: G Elliott","6-y-o
11st 5lb",147Spotlight,"7/2
4/1
9/2",4/1,SP
5,"2-1122
D","Carrigmoornaspruce (74)
J: James Bowen
T: D Queally","6-y-o
11st 5lb",144Spotlight,10/1,11/1,SP
8,"51-11
D","Echoing Silence (90)
J: Darragh O'keeffe
T: H De Bromhead","6-y-o
11st 5lb",139Spotlight,"12/1
14/1
16/1",14/1,SP
13,"22-112
D","La Conquiere (53)
J: G Sheehan
T: Jamie Snowden","7-y-o
11st 5lb",145Spotlight,"16/1
14/1",16/1,SP
20,21,"Charme De Faust (41)
J: Danny Mullins
T: W P Mullins","4-y-o
10st 9lb",135Spotlight,"14/1
16/1
14/1",16/1,SP
10,"153-61
D","Future Prospect (61)
J: H Cobden
T: W P Mullins","6-y-o
11st 5lb",142Spotlight,"22/1
25/1
22/1",20/1,SP
12,"13-131
D","Kingston Queen (32)
J: Jack Tudor
T: D Pipe","6-y-o
11st 5lb",137Spotlight,"22/1
25/1
22/1",20/1,SP
22,32-2,"Mille Et Une Vies (298)
J: Harry Skelton
T: D Skelton","4-y-o
10st 9lb",127Spotlight,"20/1
22/1
20/1",25/1,SP
16,"25-112
D","Place De La Nation (36)
J: Danny Gilligan
T: W P Mullins","5-y-o
11st 5lb",143Spotlight,"20/1
22/1
20/1",25/1,SP
2,"-431U1
D","Amen Kate (81)
J: Jack Kennedy
T: T Cooper","6-y-o
11st 5lb",133Spotlight,50/1,40/1,SP
21,"1111
D","Manganese (46)
J: David Bass
T: M Comley","4-y-o
10st 9lb",133Spotlight,50/1,40/1,SP
9,"P-1421
D","Full Of Life (131)
J: Mike O'connor
T: H De Bromhead","7-y-o
11st 5lb",138Spotlight,"28/1
33/1
28/1",40/1,SP
19,"3-1112
D","White Noise (32)
J: Thomas Bellamy
T: K Bailey & M Nicholls","6-y-o
11st 5lb",136Spotlight,"33/1
40/1
33/1",40/1,SP
7,4-P381,"Diamond Du Berlais (35)
J: Mr P W Mullins
T: W P Mullins","5-y-o
11st 5lb",126Spotlight,"50/1
40/1",50/1,SP
4,"173-21
D","Blue Velvet (44)
J: Sean O'keeffe
T: W P Mullins","6-y-o
11st 5lb",132Spotlight,"40/1
50/1
66/1",50/1,SP
11,"19-141
D","Jackie Hobbs (47)
J: Paul O'brien
T: Harry Derham","6-y-o
11st 5lb",132Spotlight,"50/1
40/1
50/1",66/1,SP
18,"30-211
D","St Irene (71)
J: J M Quinlan
T: Nick Scholfield","6-y-o
11st 5lb",127Spotlight,"50/1
66/1
80/1",66/1,SP
6,"114
D","Chosen Comrade (90)
J: Sam Ewing
T: Peter Fahey","5-y-o
11st 5lb",125Spotlight,"66/1
80/1
66/1",80/1,SP
14,"101
D","Louve D'irlande (158)
J: Conor Stone-Walsh
T: P Nolan","5-y-o
11st 5lb",,"80/1
100/1
80/1",100/1,SP
1,"2113
D","Al Fonce (71)
J: Jordan Gainford
T: N George & A Zetterholm","5-y-o
11st 5lb",125Spotlight,"100/1
125/1
150/1",125/1,SP
17,-2U313,"Scavengers Reign (34)
J: Sam Twiston-Davies
T: James Owen","6-y-o
11st 5lb",118Spotlight,"200/1
150/1
125/1",150/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
