13:20 Cheltenham (2m 179y)22 RunnersGoing: Good,,,,,,,
Ryanair Mares' Novices' Hurdle (Grade 2) (Registered As The Dawn Run Mares' Novices' Hurdle) (Gbb Race) 1,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Bet In-Running,,,,,,,
Verdict,,,,,,,
"No favourite has won this since 2018 and, having won the first five renewals, Willie Mullins has fared no better than third in the last five. However, the negatives stop there with BAMBINO FEVER. She stole the show in bumpers last season and has looked a natural jumper of hurdles, even when she was turned over on her first attempt by Oldschool Outlaw. Her Naas conqueror clearly commands the utmost respect,…WWWNo favourite has won this since 2018 and, having won the first five renewals, Willie Mullins has fared no better than third in the last five. However, the negatives stop there with BAMBINO FEVER. She stole the show in bumpers last season and has looked a natural jumper of hurdles, even when she was turned over on her first attempt by Oldschool Outlaw. Her Naas conqueror clearly commands the utmost respect, especially…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Gordon Elliott To Train 2 Or More Winners At Cheltenham Today,,,,,,,
Was,,,,,,,
7/4,,,,,,,
2/1,,,,,,,
Willie Mullins To Train 3 Or More Winners At Cheltenham Today,,,,,,,
Was,,,,,,,
3/1,,,,,,,
7/2,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 3 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
3,"11-121
C,D","Bambino Fever (57)
J: Paul Townend
T: W P Mullins","6-y-o
11st 5lb",145Spotlight,"11/10
EVS
10/11",EVS,SP
15,"27-111
D","Oldschool Outlaw (37)
J: Mark Walsh
T: G Elliott","6-y-o
11st 5lb",147Spotlight,"6/1
11/2
5/1",5/1,SP
5,"2-1122
D","Carrigmoornaspruce (75)
J: James Bowen
T: D Queally","6-y-o
11st 5lb",144Spotlight,"17/2
9/1
17/2",8/1,SP
8,"51-11
D","Echoing Silence (91)
J: Darragh O'keeffe
T: H De Bromhead","6-y-o
11st 5lb",139Spotlight,"14/1
16/1
14/1",12/1,SP
13,"22-112
D","La Conquiere (54)
J: G Sheehan
T: Jamie Snowden","7-y-o
11st 5lb",145Spotlight,"16/1
14/1
16/1",14/1,SP
12,"13-131
D","Kingston Queen (33)
J: Jack Tudor
T: D Pipe","6-y-o
11st 5lb",137Spotlight,"18/1
16/1
18/1",16/1,SP
20,21,"Charme De Faust (42)
J: Danny Mullins
T: W P Mullins","4-y-o
10st 9lb",135Spotlight,"22/1
20/1
22/1",20/1,SP
21,"1111
D","Manganese (47)
J: David Bass
T: M Comley","4-y-o
10st 9lb",133Spotlight,"25/1
22/1
25/1",22/1,SP
10,"153-61
D","Future Prospect (62)
J: H Cobden
T: W P Mullins","6-y-o
11st 5lb",142Spotlight,"22/1
25/1
22/1",25/1,SP
9,"P-1421
D","Full Of Life (132)
J: Mike O'connor
T: H De Bromhead","7-y-o
11st 5lb",134Spotlight,"28/1
25/1
22/1",25/1,SP
16,"25-112
D","Place De La Nation (37)
J: Danny Gilligan
T: W P Mullins","5-y-o
11st 5lb",143Spotlight,"33/1
28/1
33/1",28/1,SP
22,32-2,"Mille Et Une Vies (299)
J: Harry Skelton
T: D Skelton","4-y-o
10st 9lb",127Spotlight,"33/1
40/1
33/1",40/1,SP
7,4-P381,"Diamond Du Berlais (36)
J: Mr P W Mullins
T: W P Mullins","5-y-o
11st 5lb",126Spotlight,"50/1
40/1
50/1",66/1,SP
2,"-431U1
D","Amen Kate (82)
J: Jack Kennedy
T: T Cooper","6-y-o
11st 5lb",128Spotlight,"50/1
66/1
50/1",66/1,SP
19,"3-1112
D","White Noise (33)
J: Thomas Bellamy
T: K Bailey & M Nicholls","6-y-o
11st 5lb",136Spotlight,"50/1
66/1
80/1",66/1,SP
11,"19-141
D","Jackie Hobbs (48)
J: Paul O'brien
T: Harry Derham","6-y-o
11st 5lb",132Spotlight,"66/1
80/1
100/1",80/1,SP
4,"173-21
D","Blue Velvet (45)
J: Sean O'keeffe
T: W P Mullins","6-y-o
11st 5lb",132Spotlight,"125/1
100/1
125/1",100/1,SP
6,"114
D","Chosen Comrade (91)
J: Sam Ewing
T: Peter Fahey","5-y-o
11st 5lb",125Spotlight,"100/1
125/1
100/1",125/1,SP
18,"30-211
D","St Irene (72)
J: J M Quinlan
T: Nick Scholfield","6-y-o
11st 5lb",127Spotlight,"100/1
125/1
100/1",125/1,SP
14,"101
D","Louve D'irlande (159)
J: Conor Stone-Walsh
T: P Nolan","5-y-o
11st 5lb",,"250/1
125/1
150/1",200/1,SP
1,"2113
D","Al Fonce (72)
J: Jordan Gainford
T: N George & A Zetterholm","5-y-o
11st 5lb",125Spotlight,"250/1
200/1
250/1",200/1,SP
17,-2U313,"Scavengers Reign (35)
J: Sam Twiston-Davies
T: James Owen","6-y-o
11st 5lb",118Spotlight,"200/1
250/1
300/1",250/1,SP
8 or more must run for 3 places 1/4 to be paid. 7 runners or less standard EW terms apply,,,,,,,
14:00 Cheltenham (2m 4f 126y)19 RunnersGoing: Good,,,,,,,
