Year,Date,time,Race Name,Race Type,Field Size,Course,Position,Draw,Horse Name,SP (Decimal),Jockey,Trainer
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,,1,Adamant Approach,1.1,R Walsh,W P Mullins
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,,3,Bernardon,1.1,Richard Guest,M C Pipe
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,15,5,Dungarvans Choice,1,J R Kavanagh,Nicky Henderson
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,4,6,Eternal Spring,1.1,D Gallagher,James Fanshawe
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,22,7,Fireball Macnamara,101,Timmy Murphy,Mark Pitman
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,21,8,Forto,151,Robert Thornton,Dai Williams
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,10,9,Got One Too,1.1,Mick Fitzgerald,Nicky Henderson
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,16,10,Hitman,1.1,Barry Fenton,Mark Pitman
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,3,11,In Contrast,1.1,Richard Johnson,Philip Hobbs
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,13,12,Jaybejay,51,Tom Scudamore,M C Pipe
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,18,13,Mutakarrim,1,D J Casey,D K Weld
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,6,14,Native Scout,1.1,Norman Williamson,Donal Hassett
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,17,15,Never,34,T Doumen,F Doumen
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,7,17,Scottish Memories,51,Paul Carberry,Noel Meade
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,19,18,Snob Wells,101,Carl Llewellyn,Noel Meade
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,12,19,Soltero,41,Barry Geraghty,Mrs John Harrington
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,20,20,Sossus Vlei,51,Leighton Aspell,Peter Winkworth
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,8,21,Stars Out Tonight,34,Jim Culloty,Henrietta C Knight
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,,22,Three Lions,151,Barry Keniry,R S Brookhouse
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,,25,Best Wait,101,Conor O'Dwyer,T Hogan
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,1,26,Like-A-Butterfly,2.8,Charlie Swan,C Roche
2002,12 March 2002,,Supreme Novices Hurdle,"Novice Hurdle - Grade 1 (Supreme, 2m)",22,Cheltenham,14,27,Detonateur,201,David Dennis,Ian Williams
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,5,2,Ballyamber,1.1,R Walsh,W P Mullins
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,,3,Ballyhampshire Boy,1.1,Barry Geraghty,Sean Aherne
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,4,5,ClassifiedI,6,A P McCoy,M C Pipe
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,15,6,Direct Bearing,1,Conor O'Dwyer,D K Weld
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,1,9,Galileo,1.1,Jason Maguire,Tom George
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,11,10,Inching Closer I,67,John McNamara,Ferdy Murphy
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,16,11,Irish Hussar,1.1,Mick Fitzgerald,Nicky Henderson
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,,13,Keen Leader,1.1,L Cooper,Jonjo O'Neill
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,6,17,Moss Harvey,34,Graham Lee,Malcolm Jefferson
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,2,18,Over The Bar I,1.1,Norman Williamson,E J O'Grady
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,17,20,Samon,1.1,Richard Guest,M C Pipe
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,,21,Tarxien,1,Rodi Greene,M C Pipe
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,12,22,Thari,34,Paul Carberry,Noel Meade
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,10,23,The Bajan Bandit,1.1,Tony Dobbin,L Lungo
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,14,24,The Villager,67,Carl Llewellyn,Nigel Twiston-Davies
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,7,25,Too Forward,34,D Gallagher,Mark Pitman
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,8,26,Woodys Blue Lagoon,51,D J Casey,Noel Meade
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,13,27,Yeoman's Point,1.1,Charlie Swan,C Roche
2002,12 March 2002,,Ballymore Novices Hurdle,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",19,Cheltenham,18,28,Tucacas,51,Tom Scudamore,M C Pipe
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,4,1,Balapour,101,J P Elliott,Patrick O Brady
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,15,2,Burning Impulse,1,Tom Doyle,Paul Webber
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,18,4,Cashel Bay,67,Martin Mooney,Luke Comer
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,3,5,Diamond Joshua,67,Jim Culloty,John Berry
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,12,7,Hawkes Run,51,Noel Fehily,Charlie Mann
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,19,8,Heezapistol,1.1,R Walsh,W P Mullins
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,5,9,Hyderabad,34,D J Casey,M F Morris
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,9,14,Quazar,1.1,Conor O'Dwyer,Jonjo O'Neill
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,11,16,Riyadh,67,Barry Geraghty,M C Pipe
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,1,17,Scolardy,1.1,Charlie Swan,W P Mullins
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,8,18,Sud Bleu,1.1,Timmy Murphy,Paul Nicholls
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,17,19,Tender Cove,1.1,J R Barry,P Mullins
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,6,20,Turtleback,1.1,Norman Williamson,E J O'Grady
2002,12 March 2002,,Triumph Hurdle,"Juvenile Hurdle - Grade 1 (Triumph, 4yo)",19,Cheltenham,14,21,Valeureux,51,Graham Lee,J Hetherton
