Year,Date,Time,Race Name,Course,Position,Draw,Horse Name,SP,Jockey,Trainer
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,1,2,Baracouda (FR),13/8F,T Doumen F Doumen,T Doumen F Doumen
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,3,9,It Takes Time I (IRE),12/1,A P McCoy M C Pipe,A P McCoy M C Pipe
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,4,16,Telemoss (IRE),20/1,Brian Harding Nicky Richards,Brian Harding Nicky Richards
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,5,4,Bounce Back (USA),40/1,Barry Geraghty M C Pipe,Barry Geraghty M C Pipe
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,6,14,Spendid (IRE),20/1,Warren Marston Alan King,Warren Marston Alan King
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,7,10,Jair Du Cochet (FR),9/1,Jacques Ricou G Macaire,Jacques Ricou G Macaire
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,8,7,Deano's Beeno,33/1,Rodi Greene M C Pipe,Rodi Greene M C Pipe
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,10,11,Montalcino I (IRE),33/1,Norman Williamson Venetia Williams,Norman Williamson Venetia Williams
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,12,12,Pelagos (FR),200/1,Blythe Miller F Bruce Miller,Blythe Miller F Bruce Miller
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,13,8,Effectual I,100/1,B J Crowley Venetia Williams,B J Crowley Venetia Williams
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,F,13,Sir Talbot,33/1,Timmy Murphy Jim Old,Timmy Murphy Jim Old
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,1,17,Scolardy (IRE),16/1,Charlie Swan W P Mullins,Charlie Swan W P Mullins
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,2,27,Newhall (IRE),8/1,F J Flood F Flood,F J Flood F Flood
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,3,5,Diamond Joshua (IRE),66/1,Jim Culloty John Berry,Jim Culloty John Berry
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,4,1,Balapour (IRE),100/1,J P Elliott Patrick O Brady,J P Elliott Patrick O Brady
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,5,9,Hyderabad,33/1,D J Casey M F Morris,D J Casey M F Morris
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,6,20,Turtleback (IRE),16/1,Norman Williamson E J O'Grady,Norman Williamson E J O'Grady
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,7,24,Wesley Snype (FR),50/1,L Metais F Doumen,L Metais F Doumen
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,8,18,Sud Bleu (FR),16/1,Timmy Murphy Paul Nicholls,Timmy Murphy Paul Nicholls
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,9,14,Quazar (IRE),16/1,Conor O'Dwyer Jonjo O'Neill,Conor O'Dwyer Jonjo O'Neill
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,10,23,Vol Solitaire (FR),16/1,Joe Tizzard Paul Nicholls,Joe Tizzard Paul Nicholls
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,11,16,Riyadh,66/1,Barry Geraghty M C Pipe,Barry Geraghty M C Pipe
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,12,7,Hawkes Run,50/1,Noel Fehily Charlie Mann,Noel Fehily Charlie Mann
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,13,26,Live The Dream,33/1,Tom Scudamore M C Pipe,Tom Scudamore M C Pipe
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,14,21,Valeureux,50/1,Graham Lee J Hetherton,Graham Lee J Hetherton
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,15,2,Burning Impulse,25/1,Tom Doyle Paul Webber,Tom Doyle Paul Webber
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,16,25,Eluna,11/1,David Dennis Ian Williams,David Dennis Ian Williams
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,17,19,Tender Cove (IRE),14/1,J R Barry P Mullins,J R Barry P Mullins
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,18,4,Cashel Bay (USA),66/1,Martin Mooney Luke Comer,Martin Mooney Luke Comer
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,19,8,Heezapistol (FR),14/1,R Walsh W P Mullins,R Walsh W P Mullins
